meal_id,meal_name,cuisine,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,image_url
55,Economic Curry,Mexican,Snack,Vegetarian,275,46.1,23.0,4.1,23.0,4.9,1179,249,366,Baked,12,44,1.1,1,https://example.com/images/meal_55.jpg
56,Task Salad,Japanese,Breakfast,Keto,953,22.2,117.4,48.6,8.4,38.0,947,28,210,Grilled,50,36,3.4,0,https://example.com/images/meal_56.jpg
57,Let Rice,American,Lunch,Paleo,795,5.7,107.1,59.7,10.1,13.3,871,269,500,Fried,57,77,3.7,0,https://example.com/images/meal_57.jpg
58,Section Salad,Japanese,Lunch,Vegan,836,12.8,108.8,7.8,5.8,20.4,565,163,297,Baked,41,40,3.5,0,https://example.com/images/meal_58.jpg
59,Hard Wrap,Chinese,Breakfast,Low-Carb,1119,8.4,78.1,24.7,9.2,43.4,2489,109,145,Steamed,12,83,3.5,0,https://example.com/images/meal_59.jpg
60,On Curry,Thai,Breakfast,Vegan,617,41.2,113.4,21.6,1.7,42.4,1385,86,468,Roasted,47,18,4.3,0,https://example.com/images/meal_60.jpg
61,Expert Rice,Mexican,Breakfast,Vegetarian,798,75.0,100.2,8.9,17.6,9.6,1400,40,474,Fried,47,108,2.2,0,https://example.com/images/meal_61.jpg
62,Heavy Stew,Italian,Dinner,Paleo,417,35.6,123.3,3.3,29.4,49.7,2341,232,469,Roasted,28,55,2.1,0,https://example.com/images/meal_62.jpg
63,Why Curry,Indian,Lunch,Keto,213,69.9,115.1,18.5,23.2,7.4,1538,102,110,Fried,14,21,3.6,1,https://example.com/images/meal_63.jpg
64,Wall Sandwich,Mediterranean,Breakfast,Vegetarian,255,29.3,46.8,19.5,25.7,6.5,1794,116,321,Boiled,43,35,4.2,1,https://example.com/images/meal_64.jpg
65,Thought Rice,American,Dinner,Vegetarian,477,51.5,0.0,11.1,13.4,41.5,533,198,297,Boiled,55,42,4.1,0,https://example.com/images/meal_65.jpg
66,Include Curry,Chinese,Lunch,Low-Carb,602,58.4,128.7,11.0,10.6,26.7,1186,271,269,Baked,9,112,2.7,0,https://example.com/images/meal_66.jpg
67,Institution Curry,Italian,Dinner,Balanced,259,62.2,29.1,16.7,1.9,46.9,1245,90,189,Baked,50,84,2.2,0,https://example.com/images/meal_67.jpg
68,Relationship Stew,Mexican,Breakfast,Low-Carb,1199,21.5,17.6,52.3,20.2,25.2,226,175,114,Boiled,28,83,1.2,0,https://example.com/images/meal_68.jpg
69,Animal Pasta,Italian,Breakfast,Paleo,292,42.9,124.6,56.7,2.4,17.3,828,156,312,Steamed,23,12,2.7,0,https://example.com/images/meal_69.jpg
70,Company Soup,American,Breakfast,Balanced,1195,28.0,112.6,39.2,20.4,44.4,1429,177,347,Boiled,14,97,4.1,0,https://example.com/images/meal_70.jpg
71,Address Soup,Mediterranean,Breakfast,Keto,310,60.5,103.8,44.7,8.5,20.4,169,62,335,Baked,41,76,2.0,0,https://example.com/images/meal_71.jpg
72,With Wrap,Mediterranean,Dinner,Vegetarian,817,35.4,129.2,39.3,15.0,1.4,1441,92,230,Baked,47,113,4.1,0,https://example.com/images/meal_72.jpg
73,Garden Soup,American,Lunch,Vegetarian,235,64.9,18.0,48.1,24.4,46.2,2499,24,265,Grilled,21,57,2.8,0,https://example.com/images/meal_73.jpg
74,Well Wrap,Thai,Lunch,Balanced,350,53.1,32.9,19.1,15.3,50.0,1035,204,244,Roasted,17,72,2.2,0,https://example.com/images/meal_74.jpg
75,Television Pasta,Mediterranean,Breakfast,Vegetarian,865,29.3,39.0,59.0,10.2,7.6,297,29,283,Raw,55,103,2.8,0,https://example.com/images/meal_75.jpg
76,Face Sandwich,Mexican,Snack,Vegetarian,149,61.8,142.3,6.4,24.6,13.4,110,43,334,Raw,58,104,4.0,1,https://example.com/images/meal_76.jpg
77,Move Pasta,American,Snack,Balanced,714,68.7,116.1,46.5,18.3,22.0,2387,31,233,Baked,52,31,4.7,0,https://example.com/images/meal_77.jpg
78,While Soup,Chinese,Breakfast,Paleo,424,15.9,123.5,26.0,11.1,37.3,597,60,449,Boiled,21,39,4.1,0,https://example.com/images/meal_78.jpg
79,Black Wrap,Chinese,Breakfast,Keto,692,50.9,144.3,12.8,22.2,34.8,1058,245,345,Raw,32,80,2.6,0,https://example.com/images/meal_79.jpg
80,Yes Rice,Chinese,Breakfast,Keto,856,52.6,147.4,26.5,20.4,14.5,138,193,470,Baked,54,120,3.9,0,https://example.com/images/meal_80.jpg
81,Will Soup,Indian,Lunch,Vegan,684,64.1,145.5,20.2,23.4,31.3,1712,99,264,Roasted,10,78,3.6,0,https://example.com/images/meal_81.jpg
82,Whom Curry,Mediterranean,Dinner,Vegan,197,6.8,40.1,55.9,27.9,35.0,2109,207,432,Fried,9,21,1.2,0,https://example.com/images/meal_82.jpg
83,Together Stew,Mexican,Breakfast,Low-Carb,1086,62.3,87.5,57.6,10.6,18.7,1729,10,433,Baked,35,76,4.9,0,https://example.com/images/meal_83.jpg
84,Inside Pasta,Chinese,Snack,Paleo,312,68.1,95.0,4.0,19.0,8.0,2158,24,359,Roasted,8,61,1.7,1,https://example.com/images/meal_84.jpg
85,Small Soup,Chinese,Dinner,Balanced,402,34.7,63.2,36.0,12.7,48.7,780,141,312,Roasted,7,24,3.8,0,https://example.com/images/meal_85.jpg
86,Check Curry,Italian,Dinner,Vegetarian,572,24.3,63.4,26.7,7.7,19.0,1400,129,427,Raw,31,109,4.3,0,https://example.com/images/meal_86.jpg
87,Learn Sandwich,Italian,Dinner,Balanced,783,74.1,141.3,3.4,8.2,43.3,2084,257,466,Boiled,50,37,4.0,0,https://example.com/images/meal_87.jpg
88,Enough Soup,Thai,Lunch,Vegetarian,433,65.9,104.9,23.4,27.4,10.8,1025,242,348,Fried,22,113,3.9,1,https://example.com/images/meal_88.jpg
89,Production Pasta,Thai,Breakfast,Vegan,183,13.0,102.3,53.0,26.1,10.7,820,16,364,Raw,44,70,4.4,0,https://example.com/images/meal_89.jpg
90,Include Stew,Indian,Snack,Vegetarian,379,47.1,144.7,28.4,1.2,6.2,2255,17,171,Baked,24,12,2.9,0,https://example.com/images/meal_90.jpg
91,Summer Stew,Japanese,Lunch,Vegetarian,487,6.4,72.0,16.3,22.7,6.8,621,269,343,Steamed,56,75,1.6,1,https://example.com/images/meal_91.jpg
92,Attorney Salad,Chinese,Dinner,Vegan,350,11.8,29.0,15.2,15.8,6.0,948,130,225,Baked,31,69,3.8,1,https://example.com/images/meal_92.jpg
93,Reality Wrap,Thai,Lunch,Paleo,510,11.7,85.3,34.4,20.6,10.8,540,254,297,Baked,23,9,1.5,0,https://example.com/images/meal_93.jpg
94,Section Stew,Thai,Lunch,Vegetarian,504,34.9,60.6,41.9,1.2,18.2,2206,148,166,Baked,51,61,2.5,0,https://example.com/images/meal_94.jpg
95,Foot Wrap,Mediterranean,Lunch,Keto,1094,74.7,43.1,24.1,26.7,13.5,417,271,234,Baked,34,80,3.1,0,https://example.com/images/meal_95.jpg
96,Democrat Stew,Chinese,Breakfast,Keto,348,50.6,17.8,45.1,18.0,10.7,1502,9,257,Grilled,42,68,3.7,0,https://example.com/images/meal_96.jpg
97,Appear Stew,Mediterranean,Breakfast,Vegan,172,43.0,110.6,0.5,24.1,13.2,354,185,138,Boiled,57,61,2.0,1,https://example.com/images/meal_97.jpg
98,Particular Pasta,Chinese,Snack,Balanced,312,14.8,55.1,47.9,5.0,29.7,122,17,272,Roasted,32,92,5.0,0,https://example.com/images/meal_98.jpg
99,Animal Curry,Mexican,Breakfast,Keto,1148,61.4,89.9,4.6,14.0,25.5,2452,58,112,Boiled,23,110,3.6,0,https://example.com/images/meal_99.jpg
100,Western Wrap,Italian,Lunch,Balanced,1157,69.9,48.0,8.4,17.2,3.8,445,122,439,Baked,33,120,3.5,0,https://example.com/images/meal_100.jpg
101,Week Stew,Italian,Dinner,Keto,1145,15.4,55.2,51.3,27.6,19.2,1104,238,102,Boiled,17,120,4.1,0,https://example.com/images/meal_101.jpg
102,Four Salad,American,Dinner,Low-Carb,466,70.9,97.5,25.8,1.9,41.2,2095,137,224,Steamed,15,73,3.4,0,https://example.com/images/meal_102.jpg
103,Discussion Rice,Mexican,Breakfast,Balanced,478,23.4,83.6,2.7,2.2,10.1,322,4,434,Steamed,51,27,2.9,1,https://example.com/images/meal_103.jpg
104,Fast Rice,Mediterranean,Breakfast,Vegan,272,63.4,121.8,23.3,17.3,28.7,146,242,139,Roasted,12,20,4.8,0,https://example.com/images/meal_104.jpg
105,Everyone Wrap,Mediterranean,Dinner,Keto,123,9.3,99.3,20.8,28.5,26.0,1604,40,107,Roasted,24,72,2.2,0,https://example.com/images/meal_105.jpg
106,Check Stew,Italian,Breakfast,Vegetarian,197,10.1,66.1,23.2,5.6,28.6,242,252,176,Steamed,59,81,2.6,0,https://example.com/images/meal_106.jpg
107,Page Sandwich,Indian,Snack,Paleo,974,57.6,16.0,7.0,2.5,12.6,1554,191,395,Fried,30,89,3.8,0,https://example.com/images/meal_107.jpg
108,Up Sandwich,Mediterranean,Lunch,Vegetarian,604,35.2,145.7,56.2,19.3,16.4,1073,36,457,Fried,5,94,2.4,0,https://example.com/images/meal_108.jpg
109,Edge Stew,Indian,Dinner,Balanced,296,49.5,67.6,28.9,0.5,13.1,1874,35,433,Raw,43,24,2.0,0,https://example.com/images/meal_109.jpg
110,Stuff Stew,Italian,Breakfast,Vegan,306,43.9,42.7,10.1,1.9,34.5,1867,12,327,Raw,16,18,4.5,0,https://example.com/images/meal_110.jpg
111,Use Wrap,Japanese,Lunch,Vegetarian,897,52.1,17.5,32.8,13.3,22.2,690,20,161,Steamed,15,25,2.4,0,https://example.com/images/meal_111.jpg
112,Final Sandwich,Mexican,Dinner,Vegetarian,635,29.4,98.4,30.0,26.4,11.2,2189,177,279,Roasted,10,84,4.3,0,https://example.com/images/meal_112.jpg
113,Against Pasta,Italian,Dinner,Keto,162,65.9,56.0,29.0,5.2,35.4,1412,147,410,Baked,54,64,4.7,0,https://example.com/images/meal_113.jpg
114,Condition Soup,Indian,Breakfast,Low-Carb,248,65.2,32.6,37.5,10.0,16.4,1945,221,402,Fried,52,45,3.9,0,https://example.com/images/meal_114.jpg
115,Try Curry,American,Lunch,Vegetarian,854,68.0,111.9,43.4,21.7,6.6,1200,245,422,Roasted,28,120,4.5,0,https://example.com/images/meal_115.jpg
116,Bill Stew,Indian,Lunch,Low-Carb,817,55.1,92.3,21.3,3.9,39.7,2286,159,430,Fried,34,10,3.0,0,https://example.com/images/meal_116.jpg
117,Pull Stew,American,Lunch,Low-Carb,124,17.3,69.2,16.5,24.4,24.2,1400,152,252,Baked,10,38,4.2,0,https://example.com/images/meal_117.jpg
118,Describe Soup,Indian,Snack,Low-Carb,769,40.1,26.2,0.9,12.0,3.0,1972,282,289,Baked,19,85,4.9,0,https://example.com/images/meal_118.jpg
119,Talk Salad,Japanese,Snack,Vegetarian,431,26.1,8.6,4.1,1.1,12.8,1630,283,152,Baked,59,108,2.4,1,https://example.com/images/meal_119.jpg
120,Art Soup,Chinese,Snack,Paleo,135,9.5,21.2,41.3,7.0,43.0,331,222,435,Roasted,51,35,4.7,0,https://example.com/images/meal_120.jpg
121,Billion Salad,Thai,Breakfast,Vegetarian,410,28.1,20.9,28.9,16.9,7.9,1434,123,389,Grilled,6,93,2.1,0,https://example.com/images/meal_121.jpg
122,Any Rice,Japanese,Breakfast,Paleo,446,60.5,12.1,1.1,27.2,19.8,1482,228,199,Boiled,32,33,1.0,1,https://example.com/images/meal_122.jpg
123,Raise Stew,Indian,Lunch,Vegan,471,62.3,56.5,19.9,0.9,7.1,1910,50,289,Grilled,10,28,1.3,1,https://example.com/images/meal_123.jpg
124,Success Wrap,Indian,Lunch,Vegan,602,76.0,92.8,59.0,14.4,32.3,2271,206,240,Roasted,25,39,4.9,0,https://example.com/images/meal_124.jpg
125,Particular Wrap,Japanese,Lunch,Paleo,870,59.8,102.9,0.0,5.2,43.2,1608,196,124,Grilled,22,36,1.0,0,https://example.com/images/meal_125.jpg
126,Building Curry,American,Lunch,Vegan,956,49.7,102.2,2.4,7.9,4.3,2254,115,476,Boiled,12,23,4.0,0,https://example.com/images/meal_126.jpg
127,Dream Curry,Italian,Breakfast,Balanced,765,74.3,96.3,20.1,4.8,29.9,690,159,274,Steamed,36,47,3.1,0,https://example.com/images/meal_127.jpg
128,Item Soup,Chinese,Lunch,Balanced,484,10.8,72.9,11.7,12.1,12.1,1844,102,387,Boiled,11,86,2.9,1,https://example.com/images/meal_128.jpg
129,South Rice,American,Breakfast,Vegetarian,1103,9.9,11.0,39.6,22.0,47.6,1959,228,365,Grilled,49,58,2.8,0,https://example.com/images/meal_129.jpg
130,Nearly Wrap,Japanese,Lunch,Low-Carb,745,44.2,28.5,43.7,12.4,10.8,1784,124,482,Baked,47,118,3.6,0,https://example.com/images/meal_130.jpg
131,Democrat Rice,Mexican,Snack,Vegan,584,6.1,50.9,39.4,27.0,8.5,121,218,367,Raw,33,79,4.8,0,https://example.com/images/meal_131.jpg
132,Some Pasta,Mexican,Breakfast,Low-Carb,582,76.9,103.0,49.5,29.1,6.4,818,37,400,Raw,53,117,3.6,0,https://example.com/images/meal_132.jpg
133,But Wrap,Mediterranean,Breakfast,Low-Carb,535,44.6,57.0,40.9,5.4,41.5,1258,186,338,Raw,43,71,2.0,0,https://example.com/images/meal_133.jpg
134,Nice Sandwich,American,Dinner,Keto,577,30.5,12.3,51.0,25.1,15.3,1821,176,477,Baked,47,15,4.1,0,https://example.com/images/meal_134.jpg
135,How Curry,Indian,Dinner,Vegan,661,60.0,112.0,22.9,3.4,41.0,2279,242,265,Baked,24,62,4.1,0,https://example.com/images/meal_135.jpg
136,Everything Rice,Japanese,Lunch,Low-Carb,198,44.0,20.0,40.4,14.8,18.5,2384,281,257,Baked,51,89,1.9,0,https://example.com/images/meal_136.jpg
137,Network Pasta,American,Breakfast,Low-Carb,772,45.4,115.8,31.3,29.1,13.8,2356,287,344,Grilled,16,104,4.8,0,https://example.com/images/meal_137.jpg
138,Her Stew,Japanese,Breakfast,Vegan,375,59.1,118.1,29.0,9.2,30.8,1148,94,102,Grilled,47,87,3.7,0,https://example.com/images/meal_138.jpg
139,Water Sandwich,Mediterranean,Breakfast,Balanced,349,39.7,54.4,27.7,22.1,13.4,1856,255,152,Steamed,12,88,3.7,0,https://example.com/images/meal_139.jpg
140,Law Stew,Indian,Dinner,Paleo,438,44.4,74.7,44.3,2.8,13.8,1975,207,339,Boiled,60,61,3.8,0,https://example.com/images/meal_140.jpg
141,Safe Stew,Indian,Snack,Paleo,980,36.5,87.1,30.5,29.1,49.8,1505,150,439,Boiled,54,44,4.4,0,https://example.com/images/meal_141.jpg
142,Point Soup,Japanese,Lunch,Keto,136,22.3,64.5,22.9,26.7,31.3,1798,148,491,Raw,29,73,3.2,0,https://example.com/images/meal_142.jpg
143,Return Curry,American,Lunch,Low-Carb,778,69.5,0.8,36.5,20.6,1.8,1460,293,419,Grilled,18,26,5.0,0,https://example.com/images/meal_143.jpg
144,Almost Wrap,Japanese,Dinner,Paleo,566,73.4,128.3,12.2,3.8,26.5,1109,134,376,Boiled,58,72,3.3,0,https://example.com/images/meal_144.jpg
145,Add Stew,Thai,Dinner,Paleo,1043,32.1,130.5,29.2,13.6,30.6,692,147,274,Roasted,5,38,3.4,0,https://example.com/images/meal_145.jpg
146,Actually Rice,American,Dinner,Low-Carb,885,45.3,71.6,51.6,23.3,4.9,1726,111,289,Baked,53,120,3.8,0,https://example.com/images/meal_146.jpg
147,We Salad,Mediterranean,Dinner,Low-Carb,851,46.4,113.0,16.5,21.1,43.2,2111,22,415,Roasted,45,19,3.9,0,https://example.com/images/meal_147.jpg
148,A Curry,Italian,Breakfast,Balanced,644,41.1,9.2,3.6,10.3,49.6,2417,111,140,Baked,49,44,1.8,0,https://example.com/images/meal_148.jpg
149,Leg Rice,Italian,Breakfast,Keto,783,6.1,121.0,6.4,22.3,1.8,764,72,178,Steamed,36,46,1.6,0,https://example.com/images/meal_149.jpg
150,Pick Rice,Thai,Lunch,Vegan,1110,22.1,97.4,21.4,4.0,12.6,1187,107,306,Grilled,30,32,4.4,0,https://example.com/images/meal_150.jpg
151,Member Curry,Japanese,Breakfast,Vegan,1106,50.4,96.4,9.4,12.3,26.8,50,293,470,Steamed,27,94,3.7,0,https://example.com/images/meal_151.jpg
152,Receive Pasta,Mediterranean,Breakfast,Low-Carb,249,76.9,66.4,53.9,1.4,27.6,399,0,208,Baked,38,104,4.6,0,https://example.com/images/meal_152.jpg
153,Still Rice,American,Lunch,Vegan,1068,71.0,79.0,39.9,11.1,23.1,1393,6,258,Baked,8,103,1.5,0,https://example.com/images/meal_153.jpg
154,Challenge Sandwich,Japanese,Dinner,Vegan,395,50.4,47.7,36.3,19.6,0.6,1476,205,360,Fried,58,31,1.4,0,https://example.com/images/meal_154.jpg
155,Current Curry,Japanese,Lunch,Vegetarian,993,58.7,21.1,3.4,11.5,21.8,433,49,236,Grilled,7,106,2.7,0,https://example.com/images/meal_155.jpg
156,Heart Stew,Japanese,Snack,Keto,835,42.1,29.0,20.9,5.5,27.1,1291,131,311,Grilled,47,99,1.5,0,https://example.com/images/meal_156.jpg
157,Whatever Soup,Italian,Lunch,Low-Carb,664,66.5,136.7,27.1,3.8,44.1,202,300,122,Raw,44,47,1.6,0,https://example.com/images/meal_157.jpg
158,Interesting Rice,Japanese,Lunch,Balanced,1119,58.5,119.9,34.3,7.5,42.5,1137,192,278,Steamed,16,91,3.2,0,https://example.com/images/meal_158.jpg
159,With Rice,Mexican,Dinner,Vegetarian,852,27.1,90.4,36.4,18.6,40.1,1897,2,491,Raw,17,74,1.7,0,https://example.com/images/meal_159.jpg
160,Eight Wrap,American,Snack,Keto,224,75.1,132.1,13.8,13.6,46.5,2478,179,276,Fried,35,108,3.8,0,https://example.com/images/meal_160.jpg
161,Medical Stew,Chinese,Breakfast,Paleo,268,23.4,111.0,27.1,0.4,6.7,2303,84,359,Baked,43,26,1.7,0,https://example.com/images/meal_161.jpg
162,Leave Wrap,Japanese,Breakfast,Paleo,1055,9.0,100.7,45.8,14.0,15.4,100,30,394,Raw,8,61,1.9,0,https://example.com/images/meal_162.jpg
163,Old Curry,American,Lunch,Vegetarian,1175,29.7,106.3,31.3,28.3,10.0,2142,105,121,Boiled,5,68,1.5,0,https://example.com/images/meal_163.jpg
